Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Nemecek et al. (2005),Winter wheat,Switzerland,0.082488614,1,1.274691173,0.014934274,0.625551021,,,,,,,0.004628552,0,0,0,0,0.007462597,0,0,0,0,0,0,0,0.010073581,0.031533902,2.19443191,1.802374705
Nemecek et al. (2005),Winter wheat,Switzerland,0.000605643,1,1.343704,0.015224024,0.682885756,,,,,,,0.004617529,0,0,0,0,0.00746715,0,0,0,0,0,0,0,0.010064589,0.039473897,2.19443191,1.802374705
Nemecek et al. (2005),Winter wheat,Switzerland,0.010983422,1,1.332297982,0.017096127,0.676079843,,,,,,,0,0,0,0,0,0.007495737,0,0,0,0,0,0,0,0.023291307,0.041945642,2.19443191,1.802374705
Nemecek et al. (2005),Winter wheat,Switzerland,0.002650939,1,1.378093736,0.016938573,0.714467846,,,,,,,0,0,0,0,0,0.007499633,0,0,0,0,0,0,0,0.023201391,0.047647842,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,0.015236247,0.5,1.228967156,0.01436638,0.588266506,,,,,,,0.004334511,0,0,0,0,0.007434594,0,0,0,0,0,0,0,0.009174415,0.014348106,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,0.001644244,1,1.257718208,0.015100351,0.611586906,,,,,,,0.004281732,0,0,0,0,0.007436923,0,0,0,0,0,0,0,0.009282315,0.016221191,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,0.009762376,1,1.339422756,0.017420318,0.678131747,,,,,,,0.003625341,0,0,0,0,0.007442692,0,0,0,0,0,0,0,0.011242495,0.019232942,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,0.002670713,1,1.441300145,0.018678114,0.764284508,,,,,,,0.001265175,0,0,0,0,0.007448558,0,0,0,0,0,0,0,0.021313144,0.026753686,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,0.000355607,1,1.301459959,0.022247766,0.645207577,,,,,,,0,0,0,0,0,0.007470053,0,0,0,0,0,0,0,0.019604731,0.024358635,2.19443191,1.802374705
Nemecek et al. (2005),Spring wheat,Switzerland,8.58288E-05,1,1.324870757,0.022037864,0.664960654,,,,,,,0,0,0,0,0,0.007472283,0,0,0,0,0,0,0,0.019694647,0.027650304,2.19443191,1.802374705
FAO (2014),Wheat,Uganda,0.9994,1,5.583199578,0.005027387,0.005157431,0,,0,0,0.067646079,0.031614643,0,0,0,0.012350819,0.408562208,0.112768554,0,0,0,0,0,0,0.366332407,-,-,2.11024594,177.3145335
Glithero et al. (2012),Winter wheat,United Kingdom,0.530693359,0.111111111,1.017009438,0.018379433,0.364373698,,,,,,,0.005433816,0,0,0,0.062513545,0.000820368,0,0,0,0,0,0,0,0.005839421,-,2.19443191,6.875242952
Guo (2012),Wheat,United Kingdom,0.2465619,1,0.941835008,0.010509836,0.096917227,0.006051546,0.088141313,0.126619501,,,,0,0.000446006,0,0,0.058053035,0,0,0,0,0,0,0,0,0.013130737,0.003140305,2.19443191,6.875242952
Lillywhite et al. (2007),Winter wheat,United Kingdom,0.1908546,1,0.969301112,0.144234251,,,,0.05419381,0.006758984,0,0.027319451,0.001934027,0.021077135,0,0,0.065928165,0.088961859,0,0,0,0,0,0,0,-,0.00279033,2.19443191,6.875242952
Lillywhite et al. (2007),Winter wheat,United Kingdom,0.190472891,1,0.840941812,0.086540551,,,,0,0,0.000543488,0.027271108,0,0,0,0,0.096475632,0.088961859,0,0,0,0,0,0,0,-,0.00250014,2.19443191,6.875242952
Lillywhite et al. (2007),Winter wheat,United Kingdom,0.530693359,0.111111111,0.954397542,0.169502526,,,,0.116747271,0.022269711,0,0.007760657,0.009783479,0,0,0,0.071500724,Incl,0,0,0,0,0,0,0,0.004544954,0.001015033,2.506017265,8.311046961
Punter et al. (2004),Wheat,United Kingdom,0.530693359,0.111111111,1.09985978,0.020601122,0.166146542,0.006062309,0.045822936,0.166303979,0,0,0,0.009300105,NC,0,0,0.08061684,0.057406667,0,0,0,0,0,0,0,0.007440942,-,2.19443191,6.875242952
Punter et al. (2004),Wheat,United Kingdom,0.530693359,0.111111111,1.181678686,0.018784103,0.211947001,0.005527613,0.041781353,0.207282194,0,0,0,0.011596749,NC,0,0,0.073506435,0.052343399,0,0,0,0,0,0,0,0.008278488,-,2.19443191,6.875242952
Röder et al. (2014),Wheat,United Kingdom,0.530693359,0.111111111,1.079801703,Incl,0.154969623,NC,0.059107777,0.14867371,0.012709112,0,0.046576378,0.010307623,NC,0,0,0.064108339,0.009180227,0,0,0,0,0,0,0,-,-,2.19443191,6.875242952
Vellinga et al. (2013),Wheat,United Kingdom,0.530693359,0.111111111,0.875425738,0.013710561,0.067146371,0.046112568,,0.105169014,,0.022651788,0.019415818,Incl,0.015370856,0,0,0,0.017797833,0,0,0,0,0,0,0,0.013019207,-,1.965113776,6.156780063
Williams et al. (2006); Williams et al. (2010),Bread wheat,United Kingdom,0.530693359,0.111111111,1.043357957,Incl,0.138233794,0.014427175,0.040373535,0.253127509,,,,0.007939749,0.012221657,0,0,0,0.007903569,0,0,0,0,0,0,0,0.006188814,0.003317628,2.19443191,6.875242952
Williams et al. (2006); Williams et al. (2010),Bread wheat,United Kingdom,0.007,0.5,0.992593675,Incl,0.028362011,0.032764555,0.096040946,0.245171071,,,,0,0.019147675,0,0,0,0.00899405,0,0,0,0,0,0,0,0.005193833,0.009709142,2.19443191,6.875242952
Wiltshire et al. (2009),Winter bread wheat,United Kingdom,0.530693359,0.111111111,1.198590368,0.009714974,0.224327591,NC,0.036210359,0.151154977,,0,0.067575166,0.002816452,0.07065436,0,0,0.075820742,Incl,0,0,0,0,0,0,0,-,-,2.19443191,6.875242952
Wiltshire et al. (2009),Spring bread wheat,United Kingdom,0.530693359,0.111111111,0.982298148,0.012364513,0.116579693,NC,0.042392616,0.072910048,,0,0.061351138,0.001290598,0.043275795,0,0,0.093951789,Incl,0,0,0,0,0,0,0,-,-,2.19443191,6.875242952
Wiltshire et al. (2009),Bread wheat,United Kingdom,0.007,0.5,1.369385649,0.01678041,0.047691693,NC,0.046808513,0,0,0.364550238,0.045346493,0,0.150140514,0,0,0.107928505,Incl,0,0,0,0,0,0,0,-,-,2.19443191,6.875242952
FAO (2014),Wheat,United Republic of Tanzania,1,1,13.07006374,0.025716081,0.040264153,0.034654316,,0.019214772,0.006244801,0.043027364,0.036165528,0.001998716,0,0,0.014730535,0.494661776,0.112768554,0,0,0,0,0,0,3.695223266,0.006602143,-,2.11024594,85.32657064
Adom et al. (2012),Winter wheat,United States of America,0.013590207,0.5,1.497445662,0.033529198,0.674631748,,,,,,,,0,0,NC,0.152750413,Incl,0,0,0,0,0,0,0,0.006410505,-,711.4225156,25899.07858
Adom et al. (2012),Winter wheat,United States of America,0.105425737,0.333333333,1.553378055,0.035293892,0.710138682,,,,,,,,0,0,NC,0.163421266,Incl,0,0,0,0,0,0,0,0.006598271,-,711.6576314,25907.65745
Adom et al. (2012),Winter wheat,United States of America,0.137883167,1,1.775317103,0.044999713,0.90542682,,,,,,,,0,0,NC,0.148662486,Incl,0,0,0,0,0,0,0,0.007585723,-,711.6664614,25907.97963
Adom et al. (2012),Winter wheat,United States of America,0.636766735,1,1.853799462,0.044117366,0.887673352,,,,,,,,0,0,NC,0.234569498,Incl,0,0,0,0,0,0,0,0.007514669,-,711.4213582,25899.03635
Adom et al. (2012),Winter wheat,United States of America,0.106334154,1,1.512073241,0.034411545,0.692385215,,,,,,,,0,0,NC,0.146652636,Incl,0,0,0,0,0,0,0,0.006631037,-,711.5569667,25903.98441
Camargo et al. (2013),Winter wheat,United States of America,0.013590207,0.5,1.155824182,0.01159526,0.156738599,0.004786949,0.039153063,0.073853632,0.02400243,0,0.061344552,0.009043365,Incl,0,0.007783128,0.163133751,0.016655588,0,0,0,0,0,0,0,0.007261699,-,2.19443191,20.87773742
Torres et al. (2015),Wheat,United States of America,0.105425737,0.333333333,1.275399054,0.20814974,,,,0.241264471,,,,,,0,0,0.132207915,0.088961859,0,0,0,0,0,0,0,0.008927571,-,2.19443191,20.87773742
Torres et al. (2015),Wheat,United States of America,0.105425737,0.333333333,1.343112534,0.223129784,,,,0.236269118,,,,,,0,0,0.180263872,0.088961859,0,0,0,0,0,0,0,0.008495516,-,2.19443191,20.87773742
FAO (2014),Wheat,Uzbekistan,0.8795,1,1.838808349,0.019338455,0.182319705,0.083242744,,0.094602765,0.030745899,0.091274519,0.05358512,0.02476011,0,0,0.023049329,0,0.112768554,0,0,0,0,0,0,0,0.01541745,-,1691.733608,123769.2627
FAO (2014),Wheat,Zimbabwe,0.97,1,0.73292661,0.010160809,0.028049185,0,,0.015835069,0.005146398,0.008058919,0.035070345,0.00164716,0,0,0.005187125,0,0.112768554,0,0,0,0,0,0,0,-,-,2.11024594,23.4886622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize (Meal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO (2014),Maize,Angola,0.9933,1,27.37140172,0.001887827,0,0.010727222,,0,0,0.00175241,0.037549045,0,0,0,0.00610494,0.061687715,0.143801087,0,0,0,0,0,0,13.32209456,-,-,0,0
Gustafson et al. (2014),Maize,Argentina,0.7107,1,1.446282129,Incl,Incl,NC,0.790210287,,NC,0,0.03508437,NC,NC,0,0.032434118,0.00538992,Incl,0,0,0,0,0,0,0.030741552,-,-,20.96690448,431.2363886
Teixeira et al. (2007),Maize,Argentina,0.0244,1,1.29337519,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0.025711371,0.009328198,0.002184733,507.9239294,10446.71526
Maraseni et al. (2007),Maize,Australia,0.470899471,1,1.066558889,0.004331285,0.186508741,0.013348571,0.059926258,0.082835844,0.025627111,0,0.039514238,0.032311818,0.104491697,0,0.057003095,0.022102295,0.014357143,0,0,0,0,0,0,0,0.014382991,0.005642012,0,0
FAO (2014),Maize,Belarus,0.9955,1,3.472074651,0.011233632,0.161841128,0.131291866,,0.060438503,0.019642513,0.012817768,0.014728591,0.003650399,0,0,0,0.721595446,0.143801087,0,0,0,0,0,0,0,0.008050816,-,0,0
Meul et al. (2012),Maize,Belgium,0.8968,1,0.885564435,0.003096186,0.423891729,,,,,,,0.006134162,Incl,0,0,0.077746598,0.011518797,0,0,0,0,0,0,0,0.009568866,0.004743309,0,0
FAO (2014),Maize,Bolivia (Plurinational State of),0.7979,1,1.276816174,0.008633343,0.164756134,0.161258127,,0.094966515,0.030864117,0.01589625,0.037686706,0.016570209,0,0,0.035426801,0,0.143801087,0,0,0,0,0,0,0.101198853,0.010910709,-,0,0
de Alvarenga (2010),Maize,Brazil,0.1312,1,1.446930262,0.005126425,0.524325,,,,,0,0.037794018,0.017798235,0.086660794,0,0.045425451,5.04063E-05,Incl,0,0,0,0,0,0,0.002263363,0.020625379,0.007678779,0,0
de Alvarenga (2010),Maize,Brazil,0.1972,1,1.354292975,0.004724877,0.469325916,,,,,0,0.037366487,0.022960748,0.081677393,0,0.044902437,4.54688E-05,Incl,0,0,0,0,0,0,0.002041659,0.025476467,0.00811759,0,0
Gustafson et al. (2014),Maize,Brazil,0.3629998,0.5,1.610238969,Incl,Incl,NC,0.578593495,,NC,0,0.036305254,NC,NC,0,0.042664897,0.000169003,Incl,0,0,0,0,0,0,0.00758865,-,-,0.696283958,1.707775664
Vellinga et al. (2013),Maize,Brazil,0.3629998,0.5,2.066596418,0.005339377,0.093763008,0.329236015,,0.114007293,,0.087370075,0.060732857,Incl,0.056470902,0,0,0,0.01704782,0,0,0,0,0,0,0.008596124,0.0224287,-,0,0
FAO (2014),Maize,Burundi,0.9862,1,3.608735684,0.00317637,0.003731208,0.006646213,,0,0,0.038369898,0.030713054,0,0,0,0.013151989,2.435990151,0.143801087,0,0,0,0,0,0,0.003893625,-,-,0,0
FAO (2014),Maize,Cambodia,0.9438,1,7.183893391,0.018727177,1.008475443,0.01982204,,0.078304747,0.025449043,0.017763801,0.033369306,0.020494476,0,0,0.067423595,0,0.143801087,0,0,0,0,0,0,0.183707178,0.013605427,-,0,0
FAO (2014),Maize,Cameroon,0.9967,1,12.35663872,0.003448661,0.068560939,0.006296413,,0.007757939,0.00252133,0.024236099,0.027154581,0.000806979,0,0,0.008266499,0.226528319,0.143801087,0,0,0,0,0,0,0.737982311,-,-,0,0
Jayasundara et al. (2014),Maize,Canada,0.6800948,0.333333333,0.712332713,Incl,0.048494135,0.01704782,0.027069173,0.164833985,,,,0.011288421,0,0,0,0.040473896,0.030179248,0,0,0,0,0,0,0,-,-,0,0
Pelletier et al. (2008),Maize,Canada,0.3139052,1,0.83674687,0.101319125,,0.002578746,0.075402458,0.193492553,,,,0.010021353,NC,0,NC,0.062525216,Incl,0,0,0,0,0,0,0,0.0104498,-,0,0
Pelletier et al. (2008),Maize,Canada,0.006,1,0.741990869,0.016445416,,0.003594615,0.07967755,0.199103801,,,,0,NC,0,NC,0.065822581,Incl,0,0,0,0,0,0,0,0.010179283,-,0,0
Ma et al. (2012),Maize,Canada,0.6800948,0.333333333,0.885654295,0.002144284,0.079459882,0.000858285,0.008714413,0.13752175,,0,0.046815915,0.024447044,0,0,0,0.057054039,0.12997406,0,0,0,0,0,0,0,-,-,0,0
Ma et al. (2012),Maize,Canada,0.6800948,0.333333333,0.99329465,0.002833713,0.091484002,0.000786447,0.007985013,0.21707489,,0,0.042639711,0.033601223,0,0,0,0.05227859,0.12997406,0,0,0,0,0,0,0,-,-,0,0
FAO (2014),Maize,Central African Republic,1,1,8.053095094,0.001919764,-8.09077E-18,0.006296413,,0,0,0.074296519,0.026666795,0,0,0,0.008055629,0,0.143801087,0,0,0,0,0,0,0,-,-,0,0
Chen et al. (2014),Maize,China,0.716691839,0.142857143,1.011200376,0.004153203,0.212503895,NC,0.16523869,0.158718533,,,,0.040372651,0,0,NC,0.000940034,0,0,0,0,0,0,0,0,-,-,520.72112,23708.96893
Chen et al. (2014),Maize,China,0.716691839,0.142857143,1.229937375,0.005455403,0.71156271,,,,,,,0.046132184,0,0,NC,0.001298732,0,0,0,0,0,0,0,0,-,-,520.5196025,23699.79364
Cheng et al. (2015),Maize,China,0.716691839,0.142857143,1.362619823,0.005213352,0.335055527,0.000288282,0.066111814,0.208764574,0.042704843,0,0.015122736,0.056028904,0,0,0,0.002072919,0.143801087,0,0,0,0,0,0,0,0.020028703,-,520.6613607,23706.24803
Ha et al. (2015),Summer maize,China,0.077989839,0.333333333,0.875374682,0.446345704,,,,,,,,0.020582289,0,0,0.000921516,0.00073965,0,0,0,0,0,0,0,0,0.01110334,0.00507319,828.8770467,79034.30501
Gustafson et al. (2014),Maize,China,0.716691839,0.142857143,2.336464236,Incl,Incl,NC,1.1688815,,NC,0,0.031715378,NC,NC,0,0.000957535,0.001968445,Incl,0,0,0,0,0,0,0,-,-,116.0138867,5282.231754
Wang et al. (2014),Maize,China,0.041994529,0.333333333,1.376745039,0.71676446,,,,,,,,0.025561464,0,0,0,0.000823615,0.143801087,0,0,0,0,0,0,0,0.020996499,0.004579243,258.1561822,24615.46562
Wang et al. (2014),Maize,China,0.03599531,0.333333333,1.510652298,0.824946805,,,,,,,,0.029029273,0,0,0,0.000910496,0.143801087,0,0,0,0,0,0,0,0.023557936,0.005303619,278.3246122,26538.5468
Xu and Lan (2016),Maize,China,0.716691839,0.142857143,0.903557409,0.003508283,0.224704629,0.001915603,0.034804821,0.118119304,0.018882245,0.076151649,,0.011762585,NC,0,0.00092076,0.001335961,Incl,0,0,0,0,0,0,0,-,-,238.5963469,10863.53743
Yan et al. (2014),Maize,China,0.716691839,0.142857143,1.146210118,0.003927422,0.229980447,0.066307085,0.013560302,0.150241795,0.03040366,0,0.015092213,0.039889709,0,0,0,0.001380273,0.143801087,0,0,0,0,0,0,0,0.014176037,-,520.4135581,23694.96532
Yan et al. (2015a),Maize,China,0.071536455,0.5,1.043965251,0.003299461,0.201524736,0.000367323,0.05383783,0.135273074,0.013688559,0,0.030511013,0.022102004,0,0,0.000953924,0.003908185,0.143801087,0,0,0,0,0,0,0,0.009281948,0.018165479,0,0
Yan et al. (2015a),Maize,China,0.071536455,0.5,0.885937664,0.002358283,0.128163197,0.005334274,0.020527391,0.082797199,0.022780511,0,0.03038517,0.036603573,0,0,0.000947945,0.003704662,0.143801087,0,0,0,0,0,0,0,0.013525363,0.018673715,0,0
Yan et al. (2015a),Maize,China,0.090027004,0.5,1.425459384,0.005596987,0.321262389,0.003983635,0.088882151,0.211978887,0.051826805,0,0.030204009,0.068286712,0,0,0.000934669,0.000842296,0.143801087,0,0,0,0,0,0,0,0.025116283,0.00738673,0,0
Yan et al. (2015a),Maize,China,0.090027004,0.5,1.268151341,0.004658781,0.282123275,0.00358649,0.050725054,0.187999191,0.039261357,0,0.030099714,0.052324727,0,0,0.000933139,0.000823321,0.143801087,0,0,0,0,0,0,0,0.020171153,0.005860506,0,0
Yan et al. (2015a),Maize,China,0.043754863,0.5,1.32368875,0.004939573,0.243736634,0.005587364,0.178045225,0.142469621,0.038843612,0,0.032371901,0.044015619,0,0,0.000981883,0.00788603,0.143801087,0,0,0,0,0,0,0,0.018445167,0.007465194,678.6770214,61472.74574
Yan et al. (2015a),Maize,China,0.043754863,0.5,1.339976295,0.004981779,0.274585223,0.010297112,0.114844928,0.160353344,0.041718103,0,0.032267076,0.056823025,0,0,0.001024975,0.015572812,0.143801087,0,0,0,0,0,0,0,0.023163315,0.007979892,0,0
Yang and Chen (2013),Maize,China,0.716691839,0.142857143,1.280457218,0.005751711,0.396162194,0.000623809,0.130194353,0.159149947,0.032555744,0,0.032524238,0.042713251,0,0,0.004925222,0.002004134,Incl,0,0,0,0,0,0,0,0.014117105,-,520.7988627,23712.50864
Yang et al. (2014),Summer maize,China,0.01949746,0.333333333,1.407111191,0.007177815,0.430245803,0.001163459,0.06009516,0.330213595,0.112411833,0,7.17633E-05,0.062717102,0,0,0,0.000819809,Incl,0,0,0,0,0,0,0,0.020226787,0.006464559,237.0627236,22604.18198
Yang et al. (2014),Summer maize,China,0.01949746,0.333333333,1.265513674,0.006190501,0.400594489,0.001083252,0.055953018,0.261284936,0.082409992,0,7.26276E-05,0.058393492,0,0,0,0.000687212,Incl,0,0,0,0,0,0,0,0.019032595,0.006044372,220.7200244,21045.88829
Yang et al. (2014),Summer maize,China,0.01949746,0.333333333,1.06007209,0.004768315,0.330238274,0.000892975,0.046125018,0.152555498,0.084268847,0,4.88741E-05,0.048136443,0,0,0,0.000831134,Incl,0,0,0,0,0,0,0,0.016199621,0.00504756,181.9496739,17349.09428
Yang et al. (2014),Summer maize,China,0.01949746,0.333333333,1.228640366,0.005989027,0.387559109,0.001047983,0.054131978,0.252777759,0.079726805,0,7.34405E-05,0.056492258,0,0,0,0.000420182,Incl,0,0,0,0,0,0,0,0.018507472,0.005859602,213.5336002,20360.65512
FAO (2014),Maize,Costa Rica,0.8133,1,1.973582512,0.006601636,0.612967442,0.142835289,,0.211032668,0.068585617,0.025718122,0.038255359,0.036821982,0,0,0.035910678,0.056152181,0.143801087,0,0,0,0,0,0,0,0.017250091,-,0,0
FAO (2014),Maize,Côte d'Ivoire,1,1,0.738644867,0.009586009,0.100276203,0.003614607,,0.012602443,0.004095794,0.00457125,0.025748632,0.001310903,0,0,0.007691817,0.012994193,0.143801087,0,0,0,0,0,0,0,-,-,0,0
FAO (2014),Maize,Cuba,0.9494,1,3.164723181,0.005977176,0.037545276,0.369506149,,0.031447345,0.010220387,0.017990406,0.040674504,0.005487082,0,0,0.038898798,0,0.143801087,0,0,0,0,0,0,0,0.010261868,-,0,0
Christoforou et al. (2016),Maize,Cyprus,1,1,0.899919422,0.001190236,0.087819882,0.003178431,0.315272899,0.038905108,0.001808823,0,0.040688374,0.003984143,0,0,0.016990032,0,0,0,0,0,0,0,0,0,0.006930466,0.00169488,637.8889522,31817.27581
Mogensen et al. (2015),Maize,Denmark,1,1,0.934067157,0.333711068,,,,0.087175646,0.008635211,0,0.028506852,0,NC,0,0,0.102228527,Incl,0,0,0,0,0,0,0,0.004167564,-,387.2235591,1269.140704
FAO (2014),Maize,Egypt,0.9099,1,1.519114706,0.003141229,0.332777074,0.073458149,,0.190568267,0.061934687,0.069377198,0.015111799,0,0,0,1.72478E-05,0,0.143801087,0,0,0,0,0,0,0,0.017656883,-,2761.361527,272028.5446
FAO (2014),Maize,El Salvador,0.9524,1,1.099000482,0.003272641,0.129426262,0.145283894,,0.078748281,0.025593191,0.034223644,0.038487653,0.013740374,0,0,0.036123122,0,0.143801087,0,0,0,0,0,0,0,0.010593142,-,0,0
FAO (2014),Maize,Eritrea,0.9384,1,0.674443481,0.004014641,0.104590412,0.005713412,,0,0,0.01082813,0.027422247,0,0,0,0.003753203,0,0.143801087,0,0,0,0,0,0,0,-,-,0,0
Gustafson et al. (2014),Maize,Ethiopia,0.9821,1,7.991931069,Incl,Incl,NC,0.440932991,,NC,0,0.02613889,NC,NC,0,0.01058757,0.601075275,Incl,0,0,0,0,0,0,0.249904401,-,-,46.74787326,1169.017055
Carrouée et al. (2012),Maize,France,0.0764,0.333333333,0.793261375,0.001195234,0.180299993,0.11363807,,0.049732158,,,,0.005514339,NC,0,0,0,0.066687337,0,0,0,0,0,0,0,0.008146914,0.005013859,221.8322011,912.7862679
Carrouée et al. (2012),Maize,France,0.0764,0.333333333,0.770066479,0.001252295,0.159150089,0.121724932,,0.041805037,,,,0.004980026,NC,0,0,0,0.067977851,0,0,0,0,0,0,0,0.008331574,0.003199438,238.9567094,983.2495098
Koch and Salou (2015),Maize,France,0.03758688,1,0.978233715,0.008629499,0.146005551,0.054699887,,0.219389539,,,,0.017643305,,0,0,0.061316708,0.07028739,0,0,0,0,0,0,0,0.011259933,0.005171743,98.11927664,813.290079
Nguyen et al. (2012b),Maize,France,0.1945,1,1.134296202,0.621023785,,,,,,,,0.009690425,0.017107693,0,0,0.060673689,Incl,0,0,0,0,0,0,0,0.006806315,0.006907021,115.6253794,794.4030132
Nguyen et al. (2012b),Maize,France,0.1009,1,1.163550327,0.645579665,,,,,,,,0.009562652,0.016971918,0,0,0.061829095,Incl,0,0,0,0,0,0,0,0.006520994,0.006805746,196.207048,2069.325101
Nguyen et al. (2012b),Maize,France,0.0998,1,1.063457101,0.564473868,,,,,,,,0.008734862,0.017245658,0,0,0.0564193,Incl,0,0,0,0,0,0,0,0.006020775,0.00664468,122.0812296,1384.735647
Nguyen et al. (2012b),Maize,France,0.0704,1,0.951226272,0.450043396,,,,,,,,0.004866265,0.017648927,0,0,0.076687136,Incl,0,0,0,0,0,0,0,0.006987722,0.004765131,55.56492917,660.3075027
Nguyen et al. (2012b),Maize,France,0.0764,0.333333333,1.009125121,0.521927107,,,,,,,,0.007516243,0.016180038,0,0,0.053987701,Incl,0,0,0,0,0,0,0,0.005786234,0.004402013,143.8713748,722.8860387
Nguyen et al. (2012b),Maize,France,0.0791,0.5,0.95332484,0.441054737,,,,,,,,0.001793776,0.018703746,0,0,0.089518978,Incl,0,0,0,0,0,0,0,0.009294062,0.005538164,0,0
van der Werf (2004),Maize,France,0.34131312,0.5,0.972958484,0.449496083,,,,,,0,0.045192435,0,0.020063819,0,0,0.058630696,Incl,0,0,0,0,0,0,0,0.005017863,0.003614208,0,0
van der Werf et al. (2005),Maize,France,0.0791,0.5,0.845141246,0.194601822,,,,0,0,0.105477383,0.043673049,0,0.020066935,0,0,0.076089391,0.065212832,0,0,0,0,0,0,0,0.007183842,0.004201836,0,0
Vellinga et al. (2013),Maize,France,0.34131312,0.5,1.153231899,0.003196618,0.082284526,0.130208481,,0.12840003,,0.02441409,0.056061985,Incl,0.022605639,0,0,0,0.131112707,0,0,0,0,0,0,0,0.017917133,-,0,0
FAO (2014),Maize,Gabon,0.991,1,5.446902161,0.001011093,0,0.004197609,,0,0,0.00779337,0.026954148,0,0,0,0.00817904,1.26107647,0.143801087,0,0,0,0,0,0,0.125269641,-,-,0,0
Vellinga et al. (2013),Maize,Germany,0.9641,1,0.908521351,0.003298753,0.071387744,0.152364887,,0.105483383,,0.051143459,0.055405414,Incl,0.022375263,0,0,0,0.021309774,0,0,0,0,0,0,0,0.016289572,-,0,0
Vellinga et al. (2013),Maize,Hungary,0.9664,1,0.970664762,0.003666986,0.079911654,0.210966767,,0.112941805,,0.015982331,0.057536391,Incl,0.031964662,0,0,0,0.020244286,0,0,0,0,0,0,0,0.013218208,-,0,0
Gustafson et al. (2014),Maize,India,0.6518,1,3.603593605,Incl,Incl,NC,2.044617644,,NC,0,0.037963447,NC,NC,0,0.059227288,0.027523935,Incl,0,0,0,0,0,0,0,-,-,164.6221918,4923.387167
FAO (2014),Maize,Iran (Islamic Republic of),1,0.5,0.983863289,0.004205105,0.100509404,0.260718128,,0.029783877,0.00967976,0.012079653,0.015296654,0.007795249,0,0,0,0,0.143801087,0,0,0,0,0,0,0,0.008902649,-,1374.478834,92376.3858
Sami et al. (2014),Maize,Iran (Islamic Republic of),1,0.5,5.141701062,0.02176848,0.219907195,0.002374139,3.506292157,0.136301725,0.040749371,0.002032409,0.015207404,0.057872577,0,0,0,0,0.143801087,0,0,0,0,0,0,0,0.021077574,0.006670694,7190.948767,461216.1641
Goglio et al. (2012),Maize,Italy,0.0165,1,0.955955905,0.408434629,,,,,,,,,0,0,0,0.010778403,0.143801087,0,0,0,0,0,0,0,0.004338541,0.006729084,175.9231955,845.2335481
Noya et al. (2015),Maize,Italy,0.2954,0.2,1.058509293,0.00457322,0.191757673,,0.070249747,0.373162083,,,,,0,0,0,0.01318721,0,0,0,0,0,0,0,0,0.012373918,0.005048602,557.732494,1610.474886
Noya et al. (2015),Maize,Italy,0.2954,0.2,0.952113713,0.00393297,0.164911599,,0.060414783,0.320919392,,,,,0,0,0,0.009466655,0,0,0,0,0,0,0,0,0.009714312,0.004289766,400.37743,1156.105844
Noya et al. (2015),Maize,Italy,0.2954,0.2,0.891041786,0.003567112,0.149570985,,0.054794803,0.291066425,,,,,0,0,0,0.007099992,0,0,0,0,0,0,0,0,0.008004565,0.002866947,375.3538406,1083.849229
Noya et al. (2015),Maize,Italy,0.2954,0.2,0.874931732,0.003473332,0.019151567,,0.047999518,0.415256133,,,,,0,0,0,0.006093942,0,0,0,0,0,0,0,0,0.004775042,0.000780147,386.6006694,1116.324897
Noya et al. (2015),Maize,Italy,0.2954,0.2,0.866172732,0.003415443,0.018832374,,0.047199526,0.408335198,,,,,0,0,0,0.006512316,0,0,0,0,0,0,0,0,0.004965014,0.000780147,413.1423757,1192.965135
FAO (2014),Maize,Kenya,0.9792,1,4.559066659,0.011953137,0.098410599,0.169769944,,0.049194084,0.015988077,0.165021706,0.021310985,0.005117157,0,0,0,0.041307567,0.143801087,0,0,0,0,0,0,0.114372305,0.009691019,-,0,0
